                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.33425,                0.24994,                 0.3073,                0.81813,                0.91147,                0.88256,                0.91208,                0.81173,                0.91147,                0.88256,                0.90772,                0.74786,                0.59641,                 1.7717,                0.66216,                 0.8984,              0.0016317,              0.0016317,              0.0016317
                     95,                0.31403,                0.24555,                0.30987,                0.82562,                0.99921,                0.91429,                0.93813,                0.81317,                0.99921,                0.91429,                0.93528,                0.79915,                0.57916,                 1.5012,                0.59609,                 0.8891,              0.0016278,              0.0016278,              0.0016278
                     96,                  0.323,                0.26152,                0.31636,                0.81067,                0.99926,                0.94286,                 0.9547,                 0.8523,                0.99926,                0.94286,                 0.9547,                 0.8778,                0.53696,                0.82664,                0.53017,                0.87784,              0.0016238,              0.0016238,              0.0016238
                     97,                0.30746,                0.26581,                  0.295,                0.82543,                0.99672,                0.94286,                0.96569,                0.87537,                0.99672,                0.94286,                0.96569,                0.88513,                0.50089,                0.73728,                0.45366,                0.87316,              0.0016198,              0.0016198,              0.0016198
                     98,                0.27619,                0.22513,                0.28568,                0.80051,                0.98012,                0.94286,                0.96941,                0.86682,                0.98012,                0.94286,                0.96941,                0.88412,                0.55982,                0.71059,                0.44028,                0.90086,              0.0016159,              0.0016159,              0.0016159
                     99,                0.32479,                0.26642,                0.30582,                0.82246,                      1,                0.93963,                0.97034,                0.86293,                      1,                0.93963,                0.97034,                0.89427,                0.56798,                0.96112,                0.49428,                 0.8918,              0.0016119,              0.0016119,              0.0016119
                    100,                0.33988,                0.26398,                0.32291,                 0.8305,                0.99295,                0.91429,                0.96309,                0.86203,                0.99295,                0.91429,                0.96309,                0.87149,                0.52562,                 1.1013,                0.45437,                0.88034,               0.001608,               0.001608,               0.001608
                    101,                0.34319,                0.24299,                0.32208,                0.83802,                      1,                0.90914,                0.95851,                0.85554,                      1,                0.90914,                0.95851,                0.82474,                0.54846,                 1.0248,                0.47706,                 0.8891,               0.001604,               0.001604,               0.001604
                    102,                0.33048,                0.24233,                0.30459,                0.82919,                0.98732,                0.88571,                 0.9494,                 0.8348,                0.98732,                0.88571,                 0.9494,                 0.8546,                0.54345,                  1.016,                0.48056,                 0.8728,                 0.0016,                 0.0016,                 0.0016
                    103,                0.33235,                0.27848,                0.30452,                0.83211,                0.96747,                0.88571,                0.94701,                0.82669,                0.96747,                0.88571,                0.94701,                0.85674,                0.52447,                0.83614,                0.46682,                0.86878,              0.0015961,              0.0015961,              0.0015961
                    104,                0.31353,                0.25832,                0.30299,                0.81516,                0.91641,                0.93974,                0.95164,                0.83786,                0.91641,                0.93974,                0.95164,                0.86612,                0.51765,                0.84335,                0.48934,                0.86879,              0.0015921,              0.0015921,              0.0015921
