                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.23807,                0.21026,                0.30497,                0.78794,                0.98196,                      1,                  0.995,                0.94514,                0.98196,                      1,                  0.995,                  0.995,                0.42915,                0.44786,                0.28718,                0.83997,              0.0005942,              0.0005942,              0.0005942
                     73,                0.25699,                0.18072,                0.32136,                0.81702,                0.98193,                      1,                  0.995,                0.94514,                0.98193,                      1,                  0.995,                  0.995,                0.41001,                0.40882,                0.26567,                0.83934,              0.0005744,              0.0005744,              0.0005744
                     74,                0.24472,                0.19373,                0.30077,                0.80236,                0.98222,                      1,                  0.995,                0.94515,                0.98222,                      1,                  0.995,                  0.995,                 0.4322,                0.40395,                0.32924,                0.83973,              0.0005546,              0.0005546,              0.0005546
                     75,                0.24683,                0.18665,                 0.3119,                0.82443,                0.98225,                      1,                  0.995,                0.94515,                0.98225,                      1,                  0.995,                0.94618,                0.44576,                0.41629,                0.30539,                0.84106,              0.0005348,              0.0005348,              0.0005348
                     76,                0.26494,                0.19866,                0.32012,                 0.8152,                0.98218,                      1,                  0.995,                0.94515,                0.98218,                      1,                  0.995,                0.94601,                0.41483,                0.44522,                0.28239,                0.83712,               0.000515,               0.000515,               0.000515
                     77,                0.27232,                0.21504,                0.31267,                0.82338,                0.98237,                      1,                  0.995,                 0.9204,                0.98237,                      1,                  0.995,                0.92121,                0.38755,                0.44663,                  0.301,                0.84428,              0.0004952,              0.0004952,              0.0004952
                     78,                0.24455,                0.20648,                0.29215,                0.81148,                0.98281,                      1,                  0.995,                0.94516,                0.98281,                      1,                  0.995,                  0.995,                0.38094,                0.45952,                0.34973,                0.84367,              0.0004754,              0.0004754,              0.0004754
                     79,                0.25462,                0.21319,                0.31356,                0.81274,                0.98265,                      1,                  0.995,                0.94516,                0.98265,                      1,                  0.995,                  0.995,                0.40258,                0.46928,                0.35517,                0.84599,              0.0004556,              0.0004556,              0.0004556
                     80,                0.24003,                0.20798,                 0.2918,                0.81417,                0.98303,                      1,                  0.995,                0.94516,                0.98303,                      1,                  0.995,                0.94574,                 0.3609,                0.45233,                0.28815,                0.84952,              0.0004358,              0.0004358,              0.0004358
                     81,                0.24035,                0.18621,                0.29914,                0.80536,                0.98282,                      1,                  0.995,                0.94516,                0.98282,                      1,                  0.995,                  0.995,                0.31724,                0.42616,                0.26019,                0.84986,               0.000416,               0.000416,               0.000416
